,deposit_type,lead_time,adr,total_of_special_requests,previous_cancellations,market_segment,agent,customer_type
0,0,342,0.0,0,0,0,0.0,0
1,0,737,0.0,0,0,0,0.0,0
2,0,7,75.0,0,0,0,0.0,0
3,0,13,75.0,0,0,1,304.0,0
4,0,14,98.0,1,0,2,240.0,0
5,0,14,98.0,1,0,2,240.0,0
6,0,0,107.0,0,0,0,0.0,0
7,0,9,103.0,1,0,0,303.0,0
8,0,85,82.0,1,0,2,240.0,0
9,0,75,105.5,0,0,3,15.0,0
10,0,23,123.0,0,0,2,240.0,0
11,0,35,145.0,0,0,2,240.0,0
12,0,68,97.0,3,0,2,240.0,0
13,0,18,154.77,1,0,2,241.0,0
14,0,37,94.71,0,0,2,241.0,0
15,0,68,97.0,3,0,2,240.0,0
16,0,37,97.5,0,0,3,8.0,1
17,0,12,88.2,0,0,2,240.0,0
18,0,0,107.42,0,0,1,0.0,0
19,0,7,153.0,1,0,0,250.0,0
20,0,37,97.29,1,0,2,241.0,0
21,0,72,84.67,1,0,0,250.0,0
22,0,72,84.67,1,0,0,250.0,0
23,0,72,99.67,1,0,0,250.0,0
24,0,127,94.95,1,0,3,115.0,1
25,0,78,63.6,0,0,3,5.0,0
26,0,48,79.5,0,0,3,8.0,1
27,0,60,107.0,2,0,2,240.0,0
28,0,77,94.0,0,0,2,240.0,0
29,0,99,87.3,1,0,2,240.0,0
30,0,118,62.0,2,0,0,0.0,0
31,0,95,63.86,0,0,3,241.0,0
32,0,96,108.3,2,0,0,0.0,0
33,0,69,65.5,0,0,3,175.0,0
34,0,45,108.8,1,0,2,241.0,0
35,0,40,108.8,1,0,2,241.0,0
36,0,15,98.0,0,0,2,240.0,0
37,0,36,108.8,1,0,2,241.0,0
38,0,43,108.8,0,0,2,241.0,0
39,0,70,137.0,1,0,0,250.0,0
40,0,45,117.81,0,0,2,241.0,0
41,0,45,79.5,0,0,3,8.0,1
42,0,16,123.0,0,0,0,0.0,0
43,0,70,137.0,1,0,0,250.0,0
44,0,107,110.7,2,0,2,240.0,0
45,0,47,153.0,0,0,2,240.0,0
46,0,96,58.95,1,0,3,134.0,0
47,0,113,82.88,2,0,3,156.0,2
48,0,90,82.35,0,0,3,243.0,1
49,0,50,119.35,1,0,2,241.0,0
50,0,113,67.58,2,0,3,156.0,2
51,0,93,56.01,0,0,3,156.0,1
52,0,76,110.7,0,0,3,243.0,1
53,0,3,88.2,0,0,2,240.0,0
54,0,1,147.0,0,0,2,240.0,0
55,0,1,107.0,2,0,0,0.0,0
56,0,0,147.0,0,0,0,0.0,0
57,0,0,117.9,2,0,2,240.0,0
58,0,0,123.0,0,0,0,0.0,0
59,0,14,98.0,1,0,2,242.0,0
60,0,10,117.81,0,0,2,241.0,0
61,0,5,135.0,2,0,2,240.0,0
62,0,17,133.0,1,0,0,250.0,0
63,0,93,58.95,0,0,3,115.0,1
64,0,3,136.33,2,0,2,240.0,0
65,0,10,153.0,0,0,2,240.0,0
66,0,3,110.5,0,0,2,240.0,0
67,0,51,97.0,0,0,2,242.0,0
68,0,71,110.3,2,0,3,242.0,0
69,0,63,82.0,2,0,2,240.0,0
70,0,62,97.0,1,0,2,240.0,0
71,0,101,73.8,1,0,2,240.0,0
72,0,2,91.5,0,0,3,3.0,0
73,0,15,114.5,0,0,2,240.0,0
